Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
NOV Inc,NOV,2019/11/14,3.6,500000000,2029/12/1,BBB+,CALLABLE,USD,US,N
Microsoft Corp,MSFT,2015/2/12,2.375,1500000000,2022/2/12,AAA,CALLABLE,USD,US,N
Johnson & Johnson,JNJ,2020/8/25,2.45,1250000000,2060/9/1,AAA,CALLABLE,USD,US,N
Royal Caribbean Cruises Ltd,RCL,2020/5/19,10.875,1000000000,2023/6/1,BB,CALLABLE,USD,LR,N
Sunac China Holdings Ltd,SUNAC,2018/4/19,7.35,650000000,2021/7/19,B+,CALLABLE,USD,KY,N
Continental Resources Inc/OK,CLR,2014/9/5,3.8,1000000000,2024/6/1,BB+,CALLABLE,USD,US,N
Hudbay Minerals Inc,HBMCN,2016/12/12,7.625,600000000,2025/1/15,B,CALLABLE,USD,CA,N
Ford Motor Co,F,1998/6/4,8.9,501918000,2032/1/15,BB,AT MATURITY,USD,US,N
Walmart Inc,WMT,2019/9/24,2.95,1000000000,2049/9/24,AA,CALLABLE,USD,US,N
ams AG,AMSSW,2017/9/28,0.875,350000000,2022/9/28,#N/A N/A,CONVERTIBLE,USD,AT,N
Fiserv Inc,FISV,2019/6/24,3.2,2000000000,2026/7/1,BBB,CALLABLE,USD,US,N
American Express Co,AXP,2018/8/3,3.7,1850000000,2023/8/3,A-,CALLABLE,USD,US,N
Southern Copper Corp,SCCO,2015/4/23,3.875,500000000,2025/4/23,BBB,AT MATURITY,USD,US,N
Caterpillar Inc,CAT,2020/4/9,3.25,1200000000,2050/4/9,A-,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2018/7/23,1.10775,1000000000,2024/7/23,A,CALLABLE,USD,US,N
Genuine Parts Co,GPC,2020/10/29,1.875,500000000,2030/11/1,BBB,CALLABLE,USD,US,N
Royal Caribbean Cruises Ltd,RCL,2020/6/9,4.25,1150000000,2023/6/15,NR,CONVERTIBLE,USD,LR,N
Nokia Oyj,NOKIA,2009/5/7,6.625,500000000,2039/5/15,BB+,AT MATURITY,USD,FI,N
Galp Energia SGPS SA,GALPPL,2020/6/18,2,559680000,2026/1/15,#N/A N/A,CALLABLE,EUR,PT,N
Amgen Inc,AMGN,2020/2/21,3.15,2000000000,2040/2/21,BBB+,CALLABLE,USD,US,N
Accor SA,ACFP,2015/9/17,3.625,565215000,2023/9/17,BB+,AT MATURITY,EUR,FR,N
CaixaBank SA,CABKSM,2020/1/17,0.375,1109120000,2025/2/3,BBB+,AT MATURITY,EUR,ES,N
Bausch Health Cos Inc,BHCCN,2019/12/30,5.25,1250000000,2030/1/30,B-,CALLABLE,USD,CA,N
Dollar General Corp,DG,2020/4/3,3.5,1000000000,2030/4/3,BBB,CALLABLE,USD,US,N
Evraz PLC,EVRAZ,2019/4/2,5.25,700000000,2024/4/2,BB,AT MATURITY,USD,GB,N
BAE Systems PLC,BALN,2020/4/14,3.4,1300000000,2030/4/15,BBB,CALLABLE,USD,GB,N
Bank of America Corp,BAC,2015/7/30,3.875,3500000000,2025/8/1,A,AT MATURITY,USD,US,N
NRG Energy Inc,NRG,2018/5/24,2.75,575000000,2048/6/1,#N/A N/A,CONV/PUT/CALL,USD,US,N
Intel Corp,INTC,2019/11/21,3.25,2000000000,2049/11/15,A+,CALLABLE,USD,US,N
Mercer International Inc,MERC,2018/9/10,5.5,300000000,2026/1/15,B+,CALLABLE,USD,US,N
Tauron Polska Energia SA,TPEPW,2017/7/5,2.375,566920000,2027/7/5,NR,AT MATURITY,EUR,PL,N
Johnson & Johnson,JNJ,2016/3/1,2.45,2000000000,2026/3/1,AAA,CALLABLE,USD,US,N
Lear Corp,LEA,2019/5/1,5.25,625000000,2049/5/15,BBB-,CALLABLE,USD,US,N
Thermo Fisher Scientific Inc,TMO,2020/3/25,4.133,1100000000,2025/3/25,BBB,CALLABLE,USD,US,N
Verizon Communications Inc,VZ,2020/5/18,1.85,872744000,2040/5/18,BBB+,CALLABLE,EUR,US,N
Walt Disney Co/The,DIS,2020/5/13,2.2,1000000000,2028/1/13,A-,AT MATURITY,USD,US,N
Lumen Technologies Inc,LUMN,2019/12/16,5.125,1250000000,2026/12/15,B+,CALLABLE,USD,US,N
General Electric Co,GE,2004/9/24,0.54125,175500000,2024/5/13,BBB,AT MATURITY,USD,US,N
Koninklijke KPN NV,KPN,2011/11/18,5,631720000,2026/11/18,BBB-,AT MATURITY,GBP,NL,N
Banco Santander Chile,BSANCI,2020/1/10,2.7,750000000,2025/1/10,A,CALLABLE,USD,CL,N
Apple Inc,AAPL,2016/8/4,1.55,1250000000,2021/8/4,AA+,CALLABLE,USD,US,N
Bank Leumi Le-Israel BM,LUMIIT,2020/1/29,3.275,750000000,2031/1/29,BBB,CALLABLE,USD,IL,N
China South City Holdings Ltd,CSCHCN,2017/11/20,7.25,300000000,2022/11/20,B-,AT MATURITY,USD,HK,N
Kinross Gold Corp,KCN,2012/6/18,6.875,250000000,2041/9/1,BBB-,CALLABLE,USD,CA,N
Renault SA,RENAUL,2018/9/28,2,871020000,2026/9/28,BB,CALLABLE,EUR,FR,N
Synthomer PLC,YULCLN,2020/6/25,3.875,583824800,2025/7/1,BB,CALLABLE,EUR,GB,N
Banco Santander SA,SANTAN,2020/5/28,2.746,1500000000,2025/5/28,BBB+,AT MATURITY,USD,ES,N
QNB Finansbank AS,QNBFB,2017/5/18,4.875,750000000,2022/5/19,B,AT MATURITY,USD,TR,N
Prysmian SpA,PRYIM,2015/4/9,2.5,800077500,2022/4/11,#N/A N/A,AT MATURITY,EUR,IT,N
Delta Air Lines Inc,DAL,2018/4/19,3.8,500000000,2023/4/19,BB,CALLABLE,USD,US,N
CVS Health Corp,CVS,2015/7/20,3.875,3000000000,2025/7/20,BBB,CALLABLE,USD,US,N
Anheuser-Busch InBev SA/NV,ABIBB,2016/3/29,2,3379440000,2028/3/17,BBB+,AT MATURITY,EUR,BE,N
Syneos Health Inc,SYNH,2020/11/24,3.625,600000000,2029/1/15,B+,CALLABLE,USD,US,N
Bank of America Corp,BAC,2017/4/24,1.21775,1500000000,2023/4/24,A,CALLABLE,USD,US,N
Sealed Air Corp,SEE,2019/11/26,4,425000000,2027/12/1,BB,CALLABLE,USD,US,N
Emirates NBD Bank PJSC,EBIUH,2018/2/9,4.75,350266500,2028/2/9,A,AT MATURITY,AUD,AE,N
General Electric Co,GE,2012/10/9,4.125,2000000000,2042/10/9,BBB,AT MATURITY,USD,US,N
ICL Group Ltd,ICLIT,2014/12/2,4.5,800000000,2024/12/2,BBB-,AT MATURITY,USD,IL,N
Akbank T.A.S.,AKBNK,2015/3/31,5.125,500000000,2025/3/31,B,AT MATURITY,USD,TR,N
Zynga Inc,ZNGA,2019/6/14,0.25,690000000,2024/6/1,#N/A N/A,CONVERTIBLE,USD,US,N
MGM Resorts International,MGM,2020/10/13,4.75,750000000,2028/10/15,BB-,CALLABLE,USD,US,N
CNP Assurances,CNPFP,2004/6/21,0.1,363060000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,EUR,FR,N
Hologic Inc,HOLX,2020/9/28,3.25,950000000,2029/2/15,BB-,CALLABLE,USD,US,N
Comcast Corp,CMCSA,2018/10/5,3.95,3000000000,2025/10/15,A-,CALLABLE,USD,US,N
Evraz PLC,EVRAZ,2016/6/16,6.75,500000000,2022/1/31,BB+,AT MATURITY,USD,GB,N
NIKE Inc,NKE,2020/3/27,3.375,1500000000,2050/3/27,A+,CALLABLE,USD,US,N
Natwest Group PLC,NWG,2014/5/28,5.125,2250000000,2024/5/28,BBB-,AT MATURITY,USD,GB,N
CIT Group Inc,CIT,2019/11/13,4.125,100000000,2029/11/13,BB,CALLABLE,USD,US,N
VMware Inc,VMW,2017/8/21,3.9,1250000000,2027/8/21,BBB-,CALLABLE,USD,US,N
Barclays PLC,BACR,2014/9/11,4.375,1250000000,2024/9/11,BBB-,AT MATURITY,USD,GB,N
Freeport-McMoRan Inc,FCX,2020/3/4,4.125,700000000,2028/3/1,BB,CALLABLE,USD,US,N
General Electric Co,GE,2017/5/17,1.5,2506072500,2029/5/17,BBB,CALLABLE,EUR,US,N
International Business Machines Corp,IBM,2019/5/15,3.5,3250000000,2029/5/15,A,AT MATURITY,USD,US,N
Delivery Hero SE,DEHEHO,2020/7/15,0.875,855540000,2025/7/15,#N/A N/A,CONVERTIBLE,EUR,DE,N
Fifth Third Bancorp,FITB,2020/7/30,4.5,350000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
United States Cellular Corp,USM,2003/12/8,6.7,544000000,2033/12/15,BB,AT MATURITY,USD,US,N
Newmont Corp,NEM,2020/3/18,2.25,1000000000,2030/10/1,BBB,CALLABLE,USD,US,N
Allegheny Technologies Inc,ATI,2019/11/22,5.875,350000000,2027/12/1,B-,CALLABLE,USD,US,N
Masco Corp,MAS,2017/6/21,3.5,300000000,2027/11/15,BBB,CALLABLE,USD,US,N
Bausch Health Cos Inc,BHCCN,2015/3/27,6.125,3250000000,2025/4/15,B-,CALLABLE,USD,CA,N
Union Pacific Corp,UNP,2018/6/8,3.95,1500000000,2028/9/10,BBB+,CALLABLE,USD,US,N
KBC Group NV,KBCBB,2018/4/24,4.25,1224050000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,BE,N
VMware Inc,VMW,2017/8/21,2.95,1500000000,2022/8/21,BBB-,CALLABLE,USD,US,N
Stockmann OYJ Abp,STCBV,2017/12/11,4.75,294795000,2022/1/11,#N/A N/A,CALLABLE,EUR,FI,N
Standard Chartered PLC,STANLN,2021/1/14,1.456,1500000000,2027/1/14,A-,CALLABLE,USD,GB,N
Target Corp,TGT,2020/3/31,2.25,1500000000,2025/4/15,A-,CALLABLE,USD,US,N
China South City Holdings Ltd,CSCHCN,2020/8/12,11.5,200000000,2021/8/11,#N/A N/A,AT MATURITY,USD,HK,N
E.ON SE,EOANGR,2019/8/28,0.35,830902500,2030/2/28,BBB,CALLABLE,EUR,DE,Y
American International Group Inc,AIG,2007/3/15,1.187,1322960000,2037/3/15,BBB-,CALLABLE,EUR,US,N
Deutsche Bank AG,DB,2020/1/16,2.625,1111315500,2024/12/16,BBB-,AT MATURITY,GBP,DE,N
BASF SE,BASGR,2017/3/9,0.925,850000000,2023/3/9,A-,CONVERTIBLE,USD,DE,N
Australia & New Zealand Banking Group Ltd,ANZ,2020/11/25,2.57,1500000000,2035/11/25,BBB+,CALLABLE,USD,AU,N
Standard Life Aberdeen PLC,SLLN,2017/10/18,4.25,750000000,2028/6/30,BBB+,AT MATURITY,USD,GB,N
Tyson Foods Inc,TSN,2018/9/28,5.1,1500000000,2048/9/28,BBB,CALLABLE,USD,US,N
ADLER Real Estate AG,ADLERR,2019/4/17,1.5,451852000,2022/4/17,NR,CALLABLE,EUR,DE,N
Times China Holdings Ltd,TPHL,2020/5/6,6,200000000,2021/5/5,#N/A N/A,AT MATURITY,USD,KY,N
Marriott International Inc/MD,MAR,2016/6/10,3.125,750000000,2026/6/15,BBB-,CALLABLE,USD,US,N
Cellnex Telecom SA,CLNXSM,2019/7/5,0.5,953581000,2028/7/5,NR,CONV/PUT,EUR,ES,N
Manappuram Finance Ltd,MGFLIN,2020/1/13,5.9,300000000,2023/1/13,B+,AT MATURITY,USD,IN,N
Morgan Stanley,MS,2017/4/27,0.157,1631340000,2022/11/8,A,CALLABLE,EUR,US,N
Bank of America Corp,BAC,2016/11/25,4.183,2000000000,2027/11/25,BBB+,CALLABLE,USD,US,N
Taseko Mines Ltd,TKOCN,2017/6/14,8.75,250000000,2022/6/15,CCC+,CALLABLE,USD,CA,N
Covivio,COVFP,2021/1/20,0.875,121068000,2033/1/20,NR,CALLABLE,EUR,FR,Y
Occidental Petroleum Corp,OXY,2012/6/22,2.7,1250000000,2023/2/15,BB-,CALLABLE,USD,US,N
Deutsche Bank AG,DB,2015/4/10,3.6615,226936680,2025/4/10,BB,CALLABLE,CNY,DE,N
Bristol-Myers Squibb Co,BMY,2020/7/15,3.625,882403000,2024/5/15,A,CALLABLE,USD,US,N
Electricite de France SA,EDF,2014/1/22,5,1355100000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,FR,N
Verizon Communications Inc,VZ,2020/3/20,3.15,1500000000,2030/3/22,BBB+,CALLABLE,USD,US,N
Hasbro Inc,HAS,2019/11/19,3.55,675000000,2026/11/19,BBB-,CALLABLE,USD,US,N
Redwood Trust Inc,RWT,2017/8/18,4.75,245000000,2023/8/15,#N/A N/A,CONVERTIBLE,USD,US,N
Tencent Holdings Ltd,TENCNT,2020/6/3,3.24,2000000000,2050/6/3,A+,CALLABLE,USD,KY,N
Verizon Communications Inc,VZ,2017/10/27,2.875,1738515000,2038/1/15,BBB+,AT MATURITY,EUR,US,N
China Aoyuan Group Ltd,CAPG,2021/1/21,4.2,188000000,2022/1/20,#N/A N/A,AT MATURITY,USD,KY,N
DP World PLC,DPWDU,2019/9/30,4.7,500000000,2049/9/30,BBB-,CALLABLE,USD,AE,N
Becton Dickinson and Co,BDX,2011/11/8,3.125,1000000000,2021/11/8,BBB-,AT MATURITY,USD,US,N
mm2 Asia Ltd,MMASIA,2018/4/27,7,37753650,2021/4/27,#N/A N/A,CALLABLE,SGD,SG,N
Ball Corp,BLL,2019/11/18,1.5,609493500,2027/3/15,BB+,CALLABLE,EUR,US,N
Microsoft Corp,MSFT,2017/2/6,2.875,2250000000,2024/2/6,AAA,CALLABLE,USD,US,N
American International Group Inc,AIG,2018/3/26,5.75,750000000,2048/4/1,BBB-,CALLABLE,USD,US,N
MGM Resorts International,MGM,2014/11/25,6,1250000000,2023/3/15,BB-,AT MATURITY,USD,US,N
Macquarie Group Ltd,MQGAU,2021/1/12,1.34,1250000000,2027/1/12,BBB+,CALLABLE,USD,AU,N
Intesa Sanpaolo SpA,ISPIM,2021/2/8,1.4,274834000,2031/2/8,#N/A N/A,AT MATURITY,GBP,IT,N
CVS Health Corp,CVS,2020/3/31,3.75,1500000000,2030/4/1,BBB,CALLABLE,USD,US,N
Hyatt Hotels Corp,H,2020/4/23,5.75,450000000,2030/4/23,BBB-,CALLABLE,USD,US,N
Liberbank SA,LBKSM,2017/3/14,6.875,318639000,2027/3/14,NR,CALLABLE,EUR,ES,N
Waste Management Inc,WM,2020/11/17,1.5,1000000000,2031/3/15,BBB+,CALLABLE,USD,US,N
Huntington Bancshares Inc/OH,HBAN,2020/2/4,2.55,750000000,2030/2/4,BBB+,CALLABLE,USD,US,N
Sands China Ltd,SANLTD,2019/1/29,5.125,1786475000,2025/8/8,BBB-,CALLABLE,USD,KY,N
SBA Communications Corp,SBAC,2017/6/28,4.875,1099581000,2024/9/1,B+,CALLABLE,USD,US,N
Colbun SA,COLBUN,2020/3/6,3.15,500000000,2030/3/6,BBB,CALLABLE,USD,CL,N
Apple Inc,AAPL,2016/2/23,2.85,1500000000,2023/2/23,AA+,CALLABLE,USD,US,Y
Deutsche Post AG,DPWGR,2017/12/13,0.05,1176300000,2025/6/30,BBB+,CONVERTIBLE,EUR,DE,N
Mitsubishi UFJ Financial Group Inc,MUFG,2020/2/25,2.559,1150000000,2030/2/25,A-,AT MATURITY,USD,JP,N
JY Grandmark Holdings Ltd,JYGMHD,2021/2/8,7.5,155000000,2022/2/7,#N/A N/A,AT MATURITY,USD,KY,N
Citigroup Inc,C,2016/8/2,2.35,1750000000,2021/8/2,A-,AT MATURITY,USD,US,N
Lockheed Martin Corp,LMT,2015/11/23,3.55,2000000000,2026/1/15,A-,CALLABLE,USD,US,N
Mitsubishi UFJ Financial Group Inc,MUFG,2018/7/26,1.07525,1650000000,2023/7/26,A-,AT MATURITY,USD,JP,N
DIC Asset AG,DICGR,2017/7/11,3.25,205911000,2022/7/11,#N/A N/A,CALLABLE,EUR,DE,N
Apollo Commercial Real Estate Finance Inc,ARI,2018/10/5,5.375,230000000,2023/10/15,#N/A N/A,CONVERTIBLE,USD,US,N
Royal Caribbean Cruises Ltd,RCL,2020/10/16,2.875,575000000,2023/11/15,#N/A N/A,CONVERTIBLE,USD,LR,N
Mondelez International Inc,MDLZ,2020/4/13,2.75,1250000000,2030/4/13,BBB,CALLABLE,USD,US,N
UnipolSai Assicurazioni SpA,USIMIT,2003/7/28,1.961,345180000,2023/7/28,BB,CALLABLE,EUR,IT,N
Truist Financial Corp,TFC,2019/12/9,5.05,750000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Penn National Gaming Inc,PENN,2017/1/19,5.625,400000000,2027/1/15,B-,CALLABLE,USD,US,N
United Parcel Service Inc,UPS,2020/3/24,3.9,1000000000,2025/4/1,A-,CALLABLE,USD,US,N
Delivery Hero SE,DEHEHO,2020/7/15,1.5,855540000,2028/1/15,#N/A N/A,CONVERTIBLE,EUR,DE,N
Merlin Properties Socimi SA,MRLSM,2019/12/4,1.875,664674000,2034/12/4,BBB,CALLABLE,EUR,ES,N
Bank Dhofar SAOG,BKDBOM,2015/5/27,5.519,300000000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,USD,OM,N
Banca Farmafactoring SpA,FARMIT,2017/3/2,5.875,105064000,2027/3/2,#N/A N/A,CALLABLE,EUR,IT,N
Occidental Petroleum Corp,OXY,2016/11/7,4.1,750000000,2047/2/15,BB-,CALLABLE,USD,US,N
American Electric Power Co Inc,AEP,2020/3/5,2.3,400000000,2030/3/1,BBB,CALLABLE,USD,US,N
CONSOL Energy Inc,CEIX,2017/11/13,11,300000000,2025/11/15,CCC,CALLABLE,USD,US,N
ConocoPhillips,COP,2021/2/8,4.3,972920000,2028/8/15,A-,CALLABLE,USD,US,N
Amgen Inc,AMGN,2020/5/6,2.3,1250000000,2031/2/25,BBB+,CALLABLE,USD,US,N
Bank of Montreal,BMO,2021/2/16,0.350048263,787730000,2022/2/16,NR,AT MATURITY,CAD,CA,N
China Fortune Land Development Co Ltd,CHFOTN,2016/3/3,7,306184000,2021/3/3,#N/A N/A,PUTABLE,CNY,CN,N
Air Lease Corp,AL,2020/8/17,2.875,1450000000,2026/1/15,BBB,CALLABLE,USD,US,N
LVMH Moet Hennessy Louis Vuitton SE,MCFP,2020/2/11,0.375,1638270000,2031/2/11,A+,CALLABLE,EUR,FR,N
Antofagasta PLC,ANTOLN,2020/10/14,2.375,500000000,2030/10/14,BBB,CALLABLE,USD,GB,N
Telecom Italia SpA/Milano,TITIM,2017/1/19,2.5,1063240000,2023/7/19,BB,AT MATURITY,EUR,IT,N
William Hill PLC,WMH,2019/5/1,4.75,457828000,2026/5/1,BB-,AT MATURITY,GBP,GB,N
Swedish Match AB,SWEMAT,2020/2/26,0.875,326361000,2027/2/26,BBB,CALLABLE,EUR,SE,N
Intesa Sanpaolo SpA,ISPIM,2015/4/23,2.855,541190000,2025/4/23,BB,AT MATURITY,EUR,IT,N
Gulfport Energy Corp,GPOR,2017/9/7,6.375,599985000,2025/5/15,NR,CALLABLE,USD,US,N
Elis SA,ELISGP,2019/10/3,1.625,384398000,2028/4/3,NR,CALLABLE,EUR,FR,N
Cree Inc,CREE,2018/8/24,0.875,575000000,2023/9/1,#N/A N/A,CONVERTIBLE,USD,US,N
Calpine Corp,CPN,2019/12/27,5.125,1400000000,2028/3/15,B+,CALLABLE,USD,US,N
Banco Santander SA,SANTAN,2017/4/11,4.25,1000000000,2027/4/11,A-,AT MATURITY,USD,ES,N
Royal Bank of Canada,RY,2021/1/19,0.56413,300000000,2026/1/20,A+,AT MATURITY,USD,CA,N
Bekaert SA,BEKBBB,2016/6/9,0,430129600,2021/6/9,#N/A N/A,CONVERTIBLE,EUR,BE,N
Equinor ASA,EQNR,2020/4/6,3.125,1500000000,2030/4/6,AA-,CALLABLE,USD,NO,N
ZIM Integrated Shipping Services Ltd,ZIMISS,2014/7/16,3,367311579,2023/6/20,NR,CALLABLE,USD,IL,N
Orange SA,ORAFP,2020/10/15,1.75,818811000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,FR,N
Alpek SAB de CV,ALPEKA,2013/8/8,5.375,300000000,2023/8/8,BB+,AT MATURITY,USD,MX,N
OTP Bank Nyrt,OTPHB,2006/11/7,2.464,640450000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,HU,N
Yuzhou Group Holdings Co Ltd,YUZHOU,2020/2/20,7.7,400000000,2025/2/20,B+,CALLABLE,USD,KY,N
CVR Energy Inc,CVI,2020/1/27,5.25,600000000,2025/2/15,B+,CALLABLE,USD,US,N
Valero Energy Corp,VLO,2007/6/8,6.625,1500000000,2037/6/15,BBB,AT MATURITY,USD,US,N
Service Properties Trust,SVC,2017/10/26,3.95,400000000,2028/1/15,BB-,CALLABLE,USD,US,N
Raytheon Technologies Corp,RTX,2020/5/18,2.25,1000000000,2030/7/1,BBB+,CALLABLE,USD,US,N
Bank Mandiri Persero Tbk PT,BMRIIJ,2019/4/11,3.75,750000000,2024/4/11,BBB-,AT MATURITY,USD,ID,N
Vector Group Ltd,VGR,2018/11/2,10.5,555000000,2026/11/1,CCC+,CALLABLE,USD,US,N
Baidu Inc,BIDU,2017/7/6,3.625,600000000,2027/7/6,A-,AT MATURITY,USD,KY,N
Gilead Sciences Inc,GILD,2020/9/30,0.75,2000000000,2023/9/29,BBB+,CALLABLE,USD,US,N
Becton Dickinson and Co,BDX,2020/5/20,3.794,750000000,2050/5/20,BBB-,CALLABLE,USD,US,N
HP Inc,HPQ,2020/6/17,3,1000000000,2027/6/17,BBB,CALLABLE,USD,US,N
Redco Properties Group Ltd,REDPRO,2020/8/20,8.5,300000000,2021/8/19,NR,AT MATURITY,USD,KY,N
Canadian Natural Resources Ltd,CNQCN,2020/6/24,2.95,500000000,2030/7/15,BBB,CALLABLE,USD,CA,N
Deutsche Bank AG,DB,1996/10/15,0,3269040000,2026/10/15,BBB-,AT MATURITY,ITL,DE,N
ABN AMRO Bank NV,ABNANV,2017/3/27,4.4,1500000000,2028/3/27,BBB,CALLABLE,USD,NL,N
Williams Cos Inc/The,WMB,2020/5/14,3.5,1000000000,2030/11/15,BBB-,CALLABLE,USD,US,N
Caesars Entertainment Inc,CZR,2020/7/6,6.25,3400000000,2025/7/1,B,CALLABLE,USD,US,N
Apple Inc,AAPL,2017/8/18,2.513,1988680000,2024/8/19,AA+,CALLABLE,CAD,US,N
AvalonBay Communities Inc,AVB,2020/5/22,2.45,600000000,2031/1/15,A-,CALLABLE,USD,US,N
China Oil & Gas Group Ltd,CHIOIL,2019/7/25,5.5,350000000,2023/1/25,BB,CALLABLE,USD,BM,N
UniCredit SpA,UCGIM,2016/5/31,1.263,450000000,2023/5/31,#N/A N/A,AT MATURITY,USD,IT,N
Intercontinental Exchange Inc,ICE,2020/8/20,3,1500000000,2060/9/15,BBB+,CALLABLE,USD,US,N
Yuzhou Group Holdings Co Ltd,YUZHOU,2019/2/4,8.5,500000000,2023/2/4,B+,CALLABLE,USD,KY,N
Banco Latinoamericano de Comercio Exterior SA,BLX,2020/9/14,2.375,400000000,2025/9/14,BBB,CALLABLE,USD,PA,N
Virgin Money UK PLC,VMUKLN,2019/3/13,9.25,330087500,#N/A Field Not Applicable,B+,PERP/CALL,GBP,GB,N
UniCredit SpA,UCGIM,2019/7/3,1.625,846105000,2025/7/3,BBB-,CALLABLE,EUR,IT,N
Direct Line Insurance Group PLC,DLGLN,2017/12/7,4.75,469938000,#N/A Field Not Applicable,NR,PERP/CALL,GBP,GB,N
Aker ASA,AKERNO,2019/11/22,2.35,218312000,2024/11/22,#N/A N/A,AT MATURITY,NOK,NO,N
JOYY Inc,YY,2019/6/24,0.75,500000000,2025/6/15,#N/A N/A,CONV/PUT,USD,KY,N
Agile Group Holdings Ltd,AGILE,2018/3/7,6.875,500000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,KY,N
Microsoft Corp,MSFT,2015/2/12,3.5,1500000000,2035/2/12,AAA,CALLABLE,USD,US,N
Yum! Brands Inc,YUM,2019/9/11,4.75,800000000,2030/1/15,B+,CALLABLE,USD,US,N
Kimberly-Clark Corp,KMB,2020/3/26,3.1,750000000,2030/3/26,A,CALLABLE,USD,US,N
SOITEC,SOIFP,2020/10/1,0,381705907,2025/10/1,#N/A N/A,CONVERTIBLE,EUR,FR,N
Exxon Mobil Corp,XOM,2016/3/3,3.043,2500000000,2026/3/1,AA,CALLABLE,USD,US,N
Turkiye Vakiflar Bankasi TAO,VAKBN,2018/1/30,5.75,650000000,2023/1/30,B,AT MATURITY,USD,TR,N
Anheuser-Busch InBev SA/NV,ABIBB,2016/3/29,2.75,3097820000,2036/3/17,BBB+,AT MATURITY,EUR,BE,N
Japfa Comfeed Indonesia Tbk PT,JPFAIJ,2017/3/31,5.5,250000000,2022/3/31,BB-,CALLABLE,USD,ID,N
Tiffany & Co,TIF,2015/5/8,4.9,299970000,2044/10/1,BBB,CALLABLE,USD,US,N
Constellation Brands Inc,STZ,2020/4/27,2.875,600000000,2030/5/1,BBB-,CALLABLE,USD,US,N
National Australia Bank Ltd,NAB,2020/7/17,4.01,419757000,#N/A Field Not Applicable,BBB-,PERP/CALL,AUD,AU,N
Banco BPM SpA,BAMIIM,2015/7/30,3.831,545578608.3,2022/7/30,NR,AT MATURITY,EUR,IT,N
Enel SpA,ENELIM,2019/5/24,3.5,1008478121,2080/5/24,BBB-,CALLABLE,EUR,IT,N
Bank of New York Mellon Corp/The,BK,2013/5/17,4.5,500000000,#N/A Field Not Applicable,BBB+,PERP/CALL,USD,US,N
Bristol-Myers Squibb Co,BMY,2020/7/15,4.625,975977000,2044/5/15,A,CALLABLE,USD,US,N
Main Street Capital Corp,MAIN,2017/11/21,4.5,185000000,2022/12/1,NR,AT MATURITY,USD,US,N
Fiverr International Ltd,FVRR,2020/10/13,0,460000000,2025/11/1,#N/A N/A,CONVERTIBLE,USD,IL,N
Apple Inc,AAPL,2015/2/9,2.5,1500000000,2025/2/9,AA+,AT MATURITY,USD,US,N
Fidelity National Information Services Inc,FIS,2019/5/21,2,1116020000,2030/5/21,BBB,CALLABLE,EUR,US,N
ArcelorMittal SA,MTNA,2015/1/14,3.125,884062500,2022/1/14,BB+,AT MATURITY,EUR,LU,N
Bilibili Inc,BILI,2020/6/2,1.25,800000000,2027/6/15,#N/A N/A,CONV/PUT,USD,KY,N
Globe Telecom Inc,GLOPM,2020/7/23,2.5,300000000,2030/7/23,#N/A N/A,CALLABLE,USD,PH,N
eBay Inc,EBAY,2017/6/6,3.6,850000000,2027/6/5,BBB,CALLABLE,USD,US,N
Vodafone Group PLC,VOD,2012/9/26,2.5,1000000000,2022/9/26,BBB,AT MATURITY,USD,GB,N
Danske Bank A/S,DANBNK,2020/1/14,2.25,976620000,2028/1/14,BBB+,CALLABLE,GBP,DK,N
EPR Properties,EPR,2018/4/16,4.95,400000000,2028/4/15,BB+,CALLABLE,USD,US,N
BNP Paribas SA,BNP,1986/9/22,0.34425,500000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,FR,N
Magna International Inc,MGCN,2020/6/15,2.45,750000000,2030/6/15,A-,CALLABLE,USD,CA,N
Etsy Inc,ETSY,2020/8/24,0.125,650000000,2027/9/1,#N/A N/A,CONVERTIBLE,USD,US,N
Gap Inc/The,GPS,2020/5/7,8.375,500000000,2023/5/15,BB,AT MATURITY,USD,US,N
Microsoft Corp,MSFT,2015/2/12,2.7,2250000000,2025/2/12,AAA,CALLABLE,USD,US,N
General Motors Co,GM,2014/11/12,5,750000000,2035/4/1,BBB-,AT MATURITY,USD,US,N
Ares Capital Corp,ARCC,2019/3/8,4.625,402500000,2024/3/1,BBB-,CONVERTIBLE,USD,US,N
Home Depot Inc/The,HD,2021/1/7,0.9,500000000,2028/3/15,A,CALLABLE,USD,US,N
